window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
late_oct_apr,2024-2025,Kentucky,2751.0,2617.0,0.9512904398400581,0.04870956015994188,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Louisiana,2626.0,2500.0,0.952018278750952,0.04798172124904798,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Louisiana,2626.0,2500.0,0.952018278750952,0.04798172124904798,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Louisiana,2626.0,2569.0,0.9782939832444782,0.02170601675552175,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Maine,371.0,322.0,0.8679245283018868,0.13207547169811318,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Maine,371.0,322.0,0.8679245283018868,0.13207547169811318,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Maine,371.0,356.0,0.9595687331536388,0.040431266846361225,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Maryland,2265.0,2127.0,0.9390728476821192,0.06092715231788082,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Maryland,2265.0,2127.0,0.9390728476821192,0.06092715231788082,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Maryland,2265.0,2171.0,0.9584988962472406,0.041501103752759394,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Massachusetts,4583.0,4207.0,0.9179576696487017,0.08204233035129826,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Massachusetts,4583.0,4207.0,0.9179576696487017,0.08204233035129826,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Massachusetts,4583.0,4424.0,0.9653065677503818,0.034693432249618184,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Michigan,8120.0,7229.0,0.8902709359605911,0.10972906403940885,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Michigan,8120.0,7229.0,0.8902709359605911,0.10972906403940885,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Michigan,8120.0,7919.0,0.9752463054187193,0.02475369458128074,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Minnesota,3282.0,2933.0,0.8936624009750153,0.10633759902498474,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Minnesota,3282.0,2933.0,0.8936624009750153,0.10633759902498474,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Minnesota,3282.0,3194.0,0.9731870810481413,0.026812918951858666,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Mississippi,1214.0,1145.0,0.943163097199341,0.056836902800659006,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Mississippi,1214.0,1146.0,0.943986820428336,0.05601317957166396,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Mississippi,1214.0,1178.0,0.9703459637561779,0.029654036243822124,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Missouri,3289.0,2865.0,0.8710854363028276,0.12891456369717236,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Missouri,3289.0,2865.0,0.8710854363028276,0.12891456369717236,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Missouri,3289.0,3091.0,0.939799331103679,0.06020066889632103,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Montana,714.0,556.0,0.7787114845938375,0.22128851540616246,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Montana,714.0,556.0,0.7787114845938375,0.22128851540616246,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Montana,714.0,666.0,0.9327731092436975,0.0672268907563025,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Nebraska,1161.0,1007.0,0.8673557278208441,0.13264427217915586,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Nebraska,1161.0,1007.0,0.8673557278208441,0.13264427217915586,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Nebraska,1161.0,1112.0,0.9577950043066322,0.042204995693367775,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Nevada,1271.0,1190.0,0.9362706530291109,0.06372934697088906,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Nevada,1271.0,1190.0,0.9362706530291109,0.06372934697088906,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Nevada,1271.0,1250.0,0.983477576711251,0.016522423288748977,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,New Hampshire,642.0,591.0,0.9205607476635514,0.07943925233644855,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,New Hampshire,642.0,591.0,0.9205607476635514,0.07943925233644855,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,New Hampshire,642.0,625.0,0.9735202492211839,0.026479750778816147,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,New Jersey,6204.0,5848.0,0.9426176660219213,0.05738233397807868,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,New Jersey,6204.0,5848.0,0.9426176660219213,0.05738233397807868,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,New Jersey,6204.0,6064.0,0.9774339136041263,0.022566086395873652,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,New Mexico,1454.0,1345.0,0.9250343878954608,0.07496561210453923,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,New Mexico,1454.0,1345.0,0.9250343878954608,0.07496561210453923,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,New Mexico,1454.0,1429.0,0.982806052269601,0.01719394773039895,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,New York,12616.0,11828.0,0.9375396322130628,0.0624603677869372,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,New York,12616.0,11828.0,0.9375396322130628,0.0624603677869372,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,New York,12616.0,12323.0,0.9767755231452124,0.023224476854787568,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,North Carolina,6834.0,6384.0,0.9341527655838455,0.06584723441615448,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,North Carolina,6834.0,6384.0,0.9341527655838455,0.06584723441615448,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,North Carolina,6834.0,6662.0,0.9748317237342699,0.02516827626573015,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,North Dakota,465.0,375.0,0.8064516129032258,0.19354838709677424,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,North Dakota,465.0,375.0,0.8064516129032258,0.19354838709677424,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,North Dakota,465.0,445.0,0.956989247311828,0.043010752688172005,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Ohio,7169.0,6671.0,0.9305342446645278,0.06946575533547217,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Ohio,7169.0,6671.0,0.9305342446645278,0.06946575533547217,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Ohio,7169.0,7025.0,0.979913516529502,0.020086483470498018,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Oklahoma,1975.0,1857.0,0.9402531645569621,0.05974683544303794,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Oklahoma,1975.0,1857.0,0.9402531645569621,0.05974683544303794,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Oklahoma,1975.0,1929.0,0.9767088607594937,0.023291139240506298,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Oregon,2109.0,1922.0,0.9113323850165955,0.08866761498340447,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Oregon,2109.0,1922.0,0.9113323850165955,0.08866761498340447,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Oregon,2109.0,2058.0,0.9758179231863442,0.024182076813655806,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Pennsylvania,15090.0,13668.0,0.9057654075546719,0.09423459244532806,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Pennsylvania,15090.0,13672.0,0.9060304837640821,0.09396951623591787,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Pennsylvania,15090.0,14423.0,0.9557985420808482,0.044201457919151754,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Rhode Island,774.0,731.0,0.9444444444444444,0.05555555555555558,"RSV hospital admissions, all ages"
