season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,age_group,age_group_label,metric_label
2025-2026,Oklahoma,331.0,322.0,9.0,0.027190332326283987,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Oregon,268.0,256.0,12.0,0.04477611940298507,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Pennsylvania,2572.0,2396.0,176.0,0.06842923794712286,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Rhode Island,195.0,184.0,11.0,0.05641025641025641,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,South Carolina,676.0,642.0,34.0,0.05029585798816568,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,South Dakota,197.0,179.0,18.0,0.09137055837563451,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Tennessee,987.0,917.0,70.0,0.07092198581560284,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Texas,5981.0,5682.0,299.0,0.0499916401939475,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Utah,223.0,209.0,14.0,0.06278026905829596,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Vermont,40.0,30.0,10.0,0.25,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Virginia,596.0,554.0,42.0,0.07046979865771812,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Washington,290.0,261.0,29.0,0.1,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,West Virginia,427.0,339.0,88.0,0.20608899297423888,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Wisconsin,613.0,547.0,66.0,0.10766721044045677,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Wyoming,174.0,141.0,33.0,0.1896551724137931,rsv_ped_0_4,Ages 0-4,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Alabama,1017.0,905.0,112.0,0.11012782694198624,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Alaska,191.0,178.0,13.0,0.06806282722513089,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Arizona,2122.0,2062.0,60.0,0.02827521206409048,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Arkansas,382.0,330.0,52.0,0.13612565445026178,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,California,5179.0,4910.0,269.0,0.05194052905966403,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Colorado,2095.0,1918.0,177.0,0.08448687350835322,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Connecticut,599.0,585.0,14.0,0.02337228714524207,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Delaware,592.0,573.0,19.0,0.03209459459459459,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,District of Columbia,33.0,32.0,1.0,0.030303030303030304,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Florida,3926.0,3454.0,472.0,0.12022414671421294,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Georgia,2294.0,2209.0,85.0,0.037053182214472534,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Hawaii,288.0,254.0,34.0,0.11805555555555555,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Idaho,518.0,479.0,39.0,0.07528957528957529,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Illinois,2751.0,2628.0,123.0,0.04471101417666303,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Indiana,1478.0,1399.0,79.0,0.05345060893098782,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Iowa,735.0,684.0,51.0,0.06938775510204082,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Kansas,599.0,568.0,31.0,0.05175292153589316,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Kentucky,1090.0,993.0,97.0,0.0889908256880734,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Louisiana,1121.0,1064.0,57.0,0.05084745762711865,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Maine,162.0,148.0,14.0,0.08641975308641975,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Maryland,859.0,825.0,34.0,0.03958090803259604,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Massachusetts,1746.0,1660.0,86.0,0.049255441008018326,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
2024-2025,Michigan,2872.0,2717.0,155.0,0.05396935933147632,rsv_ped_total,All pediatric,"Pediatric RSV hospital admissions, all pediatric"
