window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
early_sep_mar,2025-2026,Minnesota,13.179999999999998,10.29,0.7807283763277694,0.21927162367223063,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Minnesota,13.179999999999998,12.059999999999999,0.9150227617602429,0.08497723823975711,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Mississippi,11.05,9.229999999999999,0.8352941176470586,0.16470588235294137,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Mississippi,11.05,9.329999999999998,0.8443438914027147,0.1556561085972853,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Mississippi,11.05,10.04,0.9085972850678732,0.09140271493212682,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Missouri,15.370000000000001,13.5,0.8783344176968119,0.12166558230318814,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Missouri,15.370000000000001,13.559999999999999,0.8822381262199088,0.11776187378009118,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Missouri,15.370000000000001,14.639999999999999,0.9525048796356538,0.04749512036434622,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Montana,10.51,6.2299999999999995,0.5927687916270219,0.4072312083729781,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Montana,10.51,6.240000000000001,0.5937202664129402,0.4062797335870598,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Montana,10.51,8.889999999999999,0.8458610846812559,0.15413891531874413,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Nebraska,9.12,5.66,0.6206140350877194,0.3793859649122806,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Nebraska,9.12,5.7,0.6250000000000001,0.3749999999999999,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Nebraska,9.12,7.83,0.8585526315789475,0.14144736842105254,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Nevada,8.78,7.4,0.8428246013667428,0.15717539863325725,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Nevada,8.78,7.43,0.8462414578587699,0.15375854214123008,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Nevada,8.78,8.23,0.937357630979499,0.06264236902050102,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,New Hampshire,12.979999999999999,10.830000000000002,0.834360554699538,0.16563944530046204,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,New Hampshire,12.979999999999999,10.85,0.8359013867488444,0.1640986132511556,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,New Hampshire,12.979999999999999,12.390000000000002,0.9545454545454548,0.04545454545454519,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,New Jersey,11.95,10.549999999999999,0.8828451882845187,0.11715481171548126,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,New Jersey,11.95,10.649999999999999,0.8912133891213389,0.10878661087866115,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,New Jersey,11.95,11.37,0.9514644351464435,0.04853556485355648,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,New Mexico,11.51,9.43,0.8192875760208514,0.18071242397914855,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,New Mexico,11.51,9.46,0.8218940052128585,0.1781059947871415,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,New Mexico,11.51,10.83,0.9409209383145092,0.05907906168549082,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,New York,9.2,7.8999999999999995,0.8586956521739131,0.14130434782608692,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,New York,9.2,7.97,0.866304347826087,0.133695652173913,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,New York,9.2,8.709999999999999,0.9467391304347825,0.05326086956521747,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,North Carolina,14.790000000000001,12.58,0.8505747126436781,0.14942528735632188,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,North Carolina,14.790000000000001,12.690000000000001,0.8580121703853956,0.14198782961460443,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,North Carolina,14.790000000000001,13.78,0.9317106152805948,0.06828938471940516,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,North Dakota,13.480000000000002,8.21,0.6090504451038575,0.39094955489614247,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,North Dakota,13.480000000000002,8.24,0.6112759643916913,0.3887240356083087,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,North Dakota,13.480000000000002,11.52,0.8545994065281898,0.14540059347181022,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Ohio,8.549999999999999,7.26,0.849122807017544,0.15087719298245605,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Ohio,8.549999999999999,7.280000000000001,0.8514619883040938,0.1485380116959062,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Ohio,8.549999999999999,8.18,0.9567251461988305,0.043274853801169466,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Oklahoma,12.690000000000001,10.940000000000001,0.8620961386918834,0.1379038613081166,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Oklahoma,12.690000000000001,11.01,0.867612293144208,0.13238770685579204,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Oklahoma,12.690000000000001,11.970000000000002,0.9432624113475179,0.05673758865248213,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Oregon,9.279999999999998,7.24,0.7801724137931036,0.21982758620689635,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Oregon,9.279999999999998,7.25,0.7812500000000002,0.21874999999999978,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Oregon,9.279999999999998,8.639999999999999,0.9310344827586208,0.06896551724137923,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Pennsylvania,9.209999999999997,7.92,0.8599348534201957,0.1400651465798043,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Pennsylvania,9.209999999999997,7.970000000000001,0.8653637350705757,0.13463626492942427,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Pennsylvania,9.209999999999997,8.749999999999998,0.9500542888165039,0.04994571118349611,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Rhode Island,10.79,9.35,0.8665430954587582,0.13345690454124182,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Rhode Island,10.79,9.42,0.8730305838739574,0.12696941612604262,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Rhode Island,10.79,10.34,0.958294717330862,0.04170528266913798,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,South Carolina,9.989999999999998,9.049999999999999,0.9059059059059059,0.09409409409409408,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,South Carolina,9.989999999999998,9.11,0.911911911911912,0.08808808808808799,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,South Carolina,9.989999999999998,9.479999999999999,0.948948948948949,0.05105105105105101,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,South Dakota,14.849999999999998,10.02,0.6747474747474748,0.32525252525252524,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,South Dakota,14.849999999999998,10.100000000000001,0.6801346801346804,0.31986531986531963,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,South Dakota,14.849999999999998,13.049999999999999,0.8787878787878789,0.1212121212121211,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Tennessee,11.91,10.0,0.8396305625524769,0.16036943744752308,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Tennessee,11.91,10.110000000000001,0.8488664987405542,0.1511335012594458,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Tennessee,11.91,10.9,0.9151973131821999,0.08480268681780012,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2025-2026,Texas,12.770000000000003,11.15,0.8731401722787782,0.12685982772122184,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2025-2026,Texas,12.770000000000003,11.299999999999999,0.8848864526233357,0.11511354737666435,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2025-2026,Texas,12.770000000000003,11.79,0.9232576350822237,0.0767423649177763,"RSV ED visit percentage of total ED visits, all ages"
