datasource,metric_label,season,jurisdiction,window_name,window_label,n_birth_cohorts,n_cohort_schedule_rows,share_receiving_ppx,median_person_activity_fractional_protection,q25_person_activity_fractional_protection,q75_person_activity_fractional_protection,mean_person_activity_fractional_protection,population_activity_weighted_protection,median_person_calendar_fractional_protection,mean_person_calendar_fractional_protection,total_activity_exposure_weight,uptake,efficacy_profile,protection_delay_days,protection_duration_days,eligibility_max_age_days,exposure_censor_age_days,birth_weight_scheme,allow_window_start_catchup
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kansas,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,40.66666666666666,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kentucky,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.10197545490912596,0.0,0.14115289464103054,0.07656716200686928,0.1264161844975465,0.057699030494821626,0.06363802472062328,62.55454844006567,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kentucky,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12758455095669935,0.0,0.14423304001986617,0.08625356428716913,0.13663580669400582,0.08150898523304106,0.07179358284090202,62.55454844006568,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kentucky,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.10972862550828898,0.0,0.14170459670066463,0.08229440520675768,0.12664925028431923,0.07420916120218579,0.07021419769078599,62.55454844006567,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Kentucky,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,62.55454844006567,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Louisiana,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.08773715764082662,0.0,0.1311431864743064,0.07022607061712355,0.10846241066344033,0.057699030494821626,0.06363802472062328,43.51533661740558,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Louisiana,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.11822854679795454,0.0,0.14297005210534433,0.08413125866550361,0.1314070663957092,0.08150898523304106,0.07179358284090202,43.51533661740557,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Louisiana,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.09747670285387627,0.0,0.1325843392052794,0.07632494567510446,0.1087479151024543,0.07420916120218579,0.07021419769078599,43.51533661740558,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Louisiana,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,43.51533661740558,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maine,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.12676028121659277,0.0,0.1458007171585428,0.08235143379572486,0.13791387353586748,0.057699030494821626,0.06363802472062328,32.81379310344828,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maine,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.13684892406805793,0.0,0.1459790788182266,0.08970240362004496,0.13974966786969814,0.08150898523304106,0.07179358284090202,32.813793103448276,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maine,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.13227942016860822,0.0,0.14589971389228548,0.08756781259755979,0.13821741117773384,0.07420916120218579,0.07021419769078599,32.813793103448276,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maine,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,32.81379310344828,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maryland,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.09031762443333304,0.0,0.13793949138494319,0.07295649746300835,0.11803939711241289,0.057699030494821626,0.06363802472062328,47.149293924466335,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maryland,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12469789430984639,0.0,0.14503938916895495,0.08536626009038562,0.1357125183158781,0.08150898523304106,0.07179358284090202,47.149293924466335,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maryland,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.10087631478064515,0.0,0.13931350133494827,0.0787870382309188,0.11827910165398699,0.07420916120218579,0.07021419769078599,47.14929392446634,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Maryland,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,47.149293924466335,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Massachusetts,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.09814235471875493,0.0,0.13880638220272565,0.07457946532496988,0.12228330540211563,0.057699030494821626,0.06363802472062328,47.457799671592774,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Massachusetts,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12730630382422858,0.0,0.14494888412589851,0.0858034879128046,0.1362340347112248,0.08150898523304106,0.07179358284090202,47.45779967159277,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Massachusetts,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.10415283455403128,0.0,0.1404245723990754,0.08025046469886983,0.12257318548770922,0.07420916120218579,0.07021419769078599,47.457799671592774,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Massachusetts,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,47.457799671592774,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Michigan,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.11757725597209807,0.0,0.14467159955722106,0.07938467145240351,0.1351411226126502,0.057699030494821626,0.06363802472062328,38.34285714285715,0.185,piecewise_linear,6,210,244,244,uniform,False
