week_end,jurisdiction,rsv_ped_total,rsv_total,rsv_ped_0_4,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2024-08-10,Nebraska,0.0,2.0,,2024-2025,False,NE,7,False,False
2024-08-10,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-08-10,Pennsylvania,0.0,1.0,,2024-2025,False,PA,3,False,False
2024-08-10,Vermont,,,,2024-2025,False,VT,1,False,False
2024-08-10,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
2024-08-10,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-08-10,Maryland,,,,2024-2025,False,MD,3,False,False
2024-08-10,Maine,,,,2024-2025,False,ME,1,False,False
2024-08-10,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-08-10,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-08-10,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-08-10,South Carolina,0.0,0.0,,2024-2025,False,SC,4,True,False
2024-08-10,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-08-10,Utah,,,,2024-2025,False,UT,8,False,False
2024-08-10,Alaska,,,,2024-2025,False,AK,10,False,False
2024-08-10,Arizona,0.0,4.0,,2024-2025,False,AZ,9,False,False
2024-08-10,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-08-10,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
2024-08-10,Delaware,0.0,0.0,,2024-2025,False,DE,3,False,False
2024-08-10,Ohio,0.0,0.0,,2024-2025,False,OH,5,False,False
2024-08-10,Virginia,0.0,0.0,,2024-2025,False,VA,3,False,False
2024-08-10,District of Columbia,,,,2024-2025,False,DC,3,False,False
2024-08-10,Kansas,0.0,0.0,,2024-2025,False,KS,7,False,False
2024-08-10,Wyoming,0.0,0.0,,2024-2025,False,WY,8,False,False
2024-08-10,Nevada,,,,2024-2025,False,NV,9,False,False
2024-08-10,Washington,0.0,0.0,,2024-2025,False,WA,10,False,False
2024-08-10,Georgia,0.0,0.0,,2024-2025,False,GA,4,True,False
2024-08-10,Minnesota,,,,2024-2025,False,MN,5,False,True
2024-08-10,Missouri,0.0,0.0,,2024-2025,False,MO,7,False,False
