week_end,jurisdiction,rsv_pct,rsv_pct_smoothed,covid_pct,flu_pct,combined_pct,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2023-07-15,Nevada,0.01,0.01,0.83,0.26,1.09,2023-2024,False,NV,9,False,False
2023-07-15,Illinois,0.01,0.01,0.44,0.06,0.51,2023-2024,False,IL,5,False,False
2023-07-15,Wisconsin,0.01,0.01,0.27,0.03,0.3,2023-2024,False,WI,5,False,False
2023-07-15,Washington,0.01,0.01,1.06,0.09,1.15,2023-2024,False,WA,10,False,False
2023-07-15,Oregon,0.01,0.0,0.89,0.06,0.94,2023-2024,False,OR,10,False,False
2023-07-15,New York,0.01,0.01,0.4,0.07,0.48,2023-2024,False,NY,2,False,True
2023-07-15,Massachusetts,0.01,0.01,0.53,0.04,0.58,2023-2024,False,MA,1,False,False
2023-07-15,Kansas,0.02,0.02,0.31,0.03,0.36,2023-2024,False,KS,7,False,False
2023-07-15,Maryland,0.01,0.01,0.68,0.11,0.79,2023-2024,False,MD,3,False,False
2023-07-15,Minnesota,0.02,0.01,0.35,0.06,0.42,2023-2024,False,MN,5,False,True
2023-07-15,Montana,0.01,0.02,0.53,0.05,0.59,2023-2024,False,MT,8,False,False
2023-07-15,New Mexico,0.0,0.01,0.76,0.08,0.82,2023-2024,False,NM,6,False,False
2023-07-15,North Dakota,0.02,0.04,0.28,0.0,0.3,2023-2024,False,ND,8,False,False
2023-07-15,Louisiana,0.02,0.03,1.27,0.14,1.43,2023-2024,False,LA,6,True,False
2023-07-15,Ohio,0.0,0.0,0.34,0.03,0.39,2023-2024,False,OH,5,False,False
2023-07-15,South Carolina,0.01,0.02,0.78,0.16,0.94,2023-2024,False,SC,4,True,False
2023-07-15,Tennessee,0.03,0.03,0.57,0.16,0.75,2023-2024,False,TN,4,True,False
2023-07-15,Vermont,0.0,0.0,0.5,0.0,0.5,2023-2024,False,VT,1,False,False
